# 1行1文言。タブ区切りで 文言<TAB>読み。# で始まる行と空行は無視される
# 読みは ひらがな・カタカナ・長音・半角英数記号 のみ（漢字や半角カナは打てない）
無限に寿司が回っている	むげんにすしがまわっている
醤油を回してくれる人がいない	しょうゆをまわしてくれるひとがいない
寿司が二周目に入った	すしがにしゅうめにはいった
一番おいしいのは最後	いちばんおいしいのはさいご
コンパイルは通ったが動かない	こんぱいるはとおったがうごかない
本番環境で初めて気づく	ほんばんかんきょうではじめてきづく
犯人は昨日の自分だった	はんにんはきのうのじぶんだった
とりあえず再起動してみる	とりあえずさいきどうしてみる
電源を入れ直すと直った	でんげんをいれなおすとなおった
動いているので触らない	うごいているのでさわらない
仕様ということにしておく	しようということにしておく
明日の自分がなんとかする	あすのじぶんがなんとかする
あとで直すと書いて忘れた	あとでなおすとかいてわすれた
三時間かけて一行直した	さんじかんかけていちぎょうなおした
実装より命名が難しい	じっそうよりめいめいがむずかしい
型が合わないので諦めた	かたがあわないのであきらめた
全部消してから考える	ぜんぶけしてからかんがえる
深夜のリファクタリング	しんやのりふぁくたりんぐ
誰も読まないドキュメント	だれもよまないどきゅめんと
マージしたら壊れた	まーじしたらこわれた
完璧なコードは存在しない	かんぺきなこーどはそんざいしない
会議で発言しないまま終わる	かいぎではつげんしないままおわる
定時で帰る勇気がほしい	ていじでかえるゆうきがほしい
締め切りは今日の朝だった	しめきりはきょうのあさだった
眠いので明日やります	ねむいのであしたやります
猫がキーボードを踏んでいる	ねこがきーぼーどをふんでいる
指が勝手に動いている	ゆびがかってにうごいている
最後の一文字で失敗する	さいごのいちもじでしっぱいする
打ち間違いを打ち直す	うちまちがいをうちなおす
早口言葉は難しい	はやくちことばはむずかしい
しゃっくりが止まらない	しゃっくりがとまらない
ぎゅうぎゅうの満員電車	ぎゅうぎゅうのまんいんでんしゃ
靴下が片方見つからない	くつしたがかたほうみつからない
冷蔵庫の奥に賞味期限	れいぞうこのおくにしょうみきげん
味噌汁が具だくさん	みそしるがぐだくさん
珈琲がもう冷めている	こーひーがもうさめている
目薬がまつげに当たる	めぐすりがまつげにあたる
週末まであと少し	しゅうまつまであとすこし
今日は勝てる気がする	きょうはかてるきがする
お腹が空いたので終わり	おなかがすいたのでおわり
